"['right', 'real', 'quick', 'lucas', 'start', 'five']"
"['well', 'black', 'like', 'saw', 'thought', 'interrupting', 'like', '30', 'like', 'well', 'hopefully', 'said', 'hopefully', 'sees', 'raising', 'yes', 'saw', 'got', 'went']"
"['oh', 'suppose', 'second', 'able', 'really', 'sure', 'shifting', 'going', 'next', 'makes', 'gave', 'asked', 'want', 'like', 'one', 'sure', 'thinking', 'like', 'critical', 'next', 'smoothly']"
"['thought', 'totally', 'fine', 'like', 'asked', 'one', 'thought', 'nicely', 'think', 'went', 'next', 'like', 'well', 'know', 'got', 'thinks', 'us', 'two', 'actually', 'thought', 'really', 'great']"
"['one', 'think', 'identified', 'need', 'correct', 'might', 'right']"
"['oh', 'lisa', 'really', 'one', 'said', 'well', 'clear', 'also', 'stated', 'one', 'cannot', 'exact', 'one', 'covered', 'could', 'blown']"
"['paragraph', 'four']"
"['one', 'far', 'incorrect', 'much', 'even', 'listening']"
"['like', 'especially', 'like', 'beginning', 'like', 'hard', 'sometimes', 'feel', 'like', 'like', 'wrong', 'want', 'like', 'especially', 'text', 'going', 'back', 'know', 'ava', 'says', 'new', 'says', 'first', 'ask', 'like', 'well', 'says', 'first', 'could', 'instead', 'like', 'well', 'um', 'keep', 'reading', 'later', 'get', 'might', 'says', 'like', 'know', 'could', 'two', 'could', 'either', 'back', 'find', 'like', 'oh', 'says', 'going', 'blown', 'maybe', 'go', 'back', 'also', 'might', 'like', 'oh', 'talking', 'anywhere', 'could', 'read', 'four', 'read', 'paragraph', 'four', 'like', 'oh', 'says', 'like', 'want', 'first', 'back', 'find', 'able', 'well', 'four', 'well', 'might', 'nervous', 'first', 'little', 'right']"
"['sure', 'another', 'first', 'answered', 'incorrectly', 'remember', 'said', 'nervous', 'oh', 'get', 'nervous', 'maybe', 'answered', 'happy', 'remember']"
"['say', 'excited', 'also', 'another', 'give', 'text', 'like', 'one', 'would', 'cool', 'would', 'also', 'redirect', 'like', 'true', 'one', 'really', 'great', 'asking', 'lisa', 'feels', 'pismo', 'brings', 'lie', 'know', 'pismo', 'brings', 'know', 'one', 'would', 'like', 'oh', 'know']"
"['know', 'might', 'able', 'like', 'oh', '20', 'says', 'say', 'like', 'could', 'like', 'well', 'check', 'paragraph', '14', '20', 'one', 'clammy', 'like']"
"['really', 'either', 'direct', 'back', 'getting', 'wrong', 'exactly', 'confused', 'right', 'saying', 'four', '20', 'might']"
"['alright', 'next', 'still', 'want', 'sure', 'good', 'going', 'trying', 'asking', 'using']"
"['umm', 'pretty', 'good']"
"['liked', 'lisa', 'said', 'jasmine', 'said', 'lisa', 'feeling', 'nervous', 'told', 'feeling', 'nervous', 'makes', 'textual', 'right', 'want', 'really', 'continue', 'even', 'ethan', 'ethan', 'said', 'thought', 'lisa', 'feeling', 'excited', 'new', 'said', 'makes', 'say', 'right', 'great', 'probing', 'textual', 'sure', 'hey', 'want', 'want', 'give', 'us', 'wrong', 'get', 'us', 'wrong', 'give', 'wrong']"
"['um', 'think', 'well', 'first', 'like', 'asking', 'might', 'getting', 'like', 'completely', 'misunderstanding', 'like', 'drawing', 'whole', 'fully', 'understand', 'going', 'back', 'like', 'well', 'let', 'us', 'maybe', 'think', 'kind', 'like', 'like', 'maybe', 'like', 'far', 'going', 'back', 'like', 'us', 'back', 'says', 'instead']"
"['one', 'want', 'want', 'want', 'would', 'bring', 'really', 'good', 'want', 'put', 'disregard', 'last', 'many', 'like', 'alright', 'let', 'us', 'alright', 'summary', 'going', 'ethan', 'tells', 'thought', ""lisa's"", 'excited', 'new', 'know', 'incorrect', 'first', 'going', 'going', 'sharing', 'using', 'think', 'like', 'connecting', 'specific', 'using', 'think', 'important', 'using', 'know', 'probably', 'going', 'incorrect', 'incorrect', 'least', 'know', 'coming', 'somewhere', 'know', 'know', 'coming', 'going', 'saying', 'might', 'us', 'different', 'one', 'came', 'wrong', 'going', 'back', 'additional', 'textual', 'textual', 'give', 'still', 'struggles', 'read', 'four', 'lisa', 'getting', 'another', 'guiding', 'want', 'alright', 'us', 'going', 'going', 'lisa', 'likely', 'lisa', 'likely', 'pismo', 'brings', 'going']"
"['lisa', 'likely', 'pismo', 'brings', 'lie']"
"['lisa', 'calm']"
"['um', 'thank', 'sharing', 'using', 'think']"
"['um', 'paragraph', '22', 'says', 'smiled', 'relaxed']"
"['um', 'might', 'us', 'different']"
"['oh', 'well', 'earlier', 'text', 'paragraph', '20', 'says', 'pounding', 'loudly', 'maybe', 'feeling', 'maybe', 'scared', 'nervous', 'great', 'practicing', 'going', 'scenario', 'two']"
"['um', 'good', 'um', 'feel', 'like', 'always', 'surprised', 'smoothly', 'actually', 'goes', 'like', 'know', 'like', 'supposed', 'guess', 'um', 'mean', 'thought', 'thought', 'went', 'well', 'seem', 'really', 'pretty', 'easily', 'lisa', 'excited']"
"['thought', 'like', 'super', 'confident', 'really', 'like', 'like', 'feeling', 'nervous', 'like', 'probing', 'textual', 'want', 'like', 'probing', 'textual', 'really', 'good', 'providing', 'consistent']"
"['tempting', 'tempting']"
"['much', 'faster', 'want', 'probing', 'supporting', 'sorry', 'scaffolding', 'making', 'basically', 'get', 'wrong']"
"['um', 'think', 'first', 'always', 'think', 'half', 'oh', 'nevermind', 'think', 'differently', 'think', 'important', 'thinking', 'thinking', 'exactly', 'want', 'also', 'think', 'could', 'said', 'like', 'simple', 'like', 'raising', 'trying', 'making', 'best', 'think', 'sometimes', 'need', 'explicitly', 'know', 'like', 'else', 'knew', 'except']"
"['want', 'going', 'going', 'would', 'make', 'going']"
"['would', 'great']"
"['ethan', 'tells', 'thought', 'lisa', 'feeling', 'excited', 'new', 'knew', 'incorrect', 'going', 'first', 'going', 'sharing', 'ethan', 'using', 'asked', 'using', 'think', 'really', 'good', 'ethan', 'initial', 'excited', 'might', 'wrong', 'even', 'gives', 'wrong', 'going', 'thank', 'ethan', 'might', 'us', 'different', 'going', 'back', 'second', 'back', 'second', 'like', 'alright', 'first', 'wrong', 'looking', 'going', 'back', 'second', 'additional', 'reading', 'inaudible', 'sent', 'back', 'additional', 'textual', 'cannot', 'additional', 'going', 'paragraph', 'four', 'lisa', 'sending', 'back', 'giving', 'finding', 'textual', 'normal', 'struggle']"
"['might', 'better']"
"['um', 'mean', 'think', 'like', 'said', 'encouraged', 'first', 'unsure', '0r', 'getting', 'wrong', 'always', 'get', 'raise', 'one', 'mean', 'might', 'second', 'needs', 'individual', 'giving', 'individualized', 'also', 'important']"
"['absolutely', 'us', 'going', 'going', 'going', 'lisa', 'likely', 'pismo', 'brings']"
"['lisa', 'likely', 'pismo', 'brings', 'lie']"
"['think', 'lisa', 'calm']"
"['sharing', 'good', 'think']"
"['well', '22', 'says', 'smiled', 'relaxed']"
"['true', 'good', 'might', 'us', 'different', ""lisa's"", 'though']"
"['oh', 'well', '20', 'says', 'pounding', 'loudly', 'maybe', 'nervous', 'scared']"
"['maybe', 'nervous', 'scared', 'look', 'four', 'supports']"
"['says', 'great', 'great', 'following', 'additional', 'ready', 'think', 'think', 'ready', 'next', 'ready', 'second']"
"['hey', 'teacher']"
"['think', 'went', 'better', 'first']"
"['think', 'able', 'able', 'little', 'think', 'able', 'maybe', 'little', 'specific', 'like', 'know', 'even', 'got', 'slightly', 'wrong', 'correct', 'also', 'like', 'little']"
"['thought', 'really', 'good', 'scaffold', 'first', 'pull', 'textual', 'jasmine', 'said', 'feeling', 'nervous', 'asked', 'pushed', 'textual', 'ethan', 'ethan', 'got', 'wrong', 'said', 'thought', 'lisa', 'feeling', 'excited', 'new', 'said', 'made', 'think', 'probing', 'textual', 'really', 'good', 'get', 'textual', 'answer', 'wrong', 'textual', 'really', 'want', 'visual', 'going', 'going', 'give', 'wrong', 'going', 'going', 'going', 'put', 'going', 'want', 'actually', 'well', 'wrong', 'ethan', 'says', 'thought', 'lisa', 'feeling', 'excited', 'new', 'know', 'incorrect', 'going', 'going', 'sharing', 'ethan', 'using', 'think', 'good', 'know', ""ethan's"", 'probably', 'going', 'wrong', 'textual', 'probably', 'going', 'aligned', 'original', 'know', 'wrong', 'still', 'showing', 'thinking', 'textual', 'going', 'asking', 'second', 'might', 'us', 'different', 'got', 'needs', 'back', 'additional', 'textual', 'important', 'gives', 'looking', 'textual', 'much', 'ethan', 'still', 'struggles', 'additional', 'textual', 'going', 'another', 'going', 'read', 'four', 'lisa', 'ethan', 'hard', 'finding', 'textual', 'going', 'textual', 'might', 'better']"
"['like', 'back', 'even', 'though', 'like', 'using', 'higher', 'thinking', 'know', 'still', 'still', 'want', 'able', 'right', 'needs', 'pointing', 'might', 'might', 'another', 'like', 'know', 'wrong', 'like', 'subtle', 'like', 'well', 'wrong', 'like', 'like', 'well', 'wrong', 'right', 'final', 'like', 'well', 'like', 'us', 'together', 'us', 'else', 'need']"
"['absolutely', 'us', 'together', 'going', 'going', 'lisa', 'likely', 'pizmo', 'brings', 'going', 'ahead']"
"['lisa', 'likely', 'pismo', 'brings', 'lie']"
"['think', 'lisa', 'calm']"
"['hear', 'using']"
"['well', '22', 'says', 'smiled', 'laughed']"
"['smiled', 'laughed', 'could', 'definitely', 'might', 'us', 'different']"
"['well', 'earlier', '20', 'says', 'pounding', 'loudly', 'maybe', 'maybe', 'means', 'scared', 'nervous']"
"['scared', 'nervous', 'also', 'might', 'nervous', 'four', 'might', 'four', 'learned']"
"['perfect', 'great', 'know', 'like', 'going', 'going', 'going', 'might', 'able', 'additional', 'paragraphs', 'four', 'another', 'another', 'going', 'going', 'back', 'going', 'second', 'get', 'started']"
"['oh', 'teacher']"
"['um', 'good', 'little', 'think', 'last', 'managing', 'behavior', 'felt', 'little', 'comfortable', 'one']"
"['good', 'definitely', 'think', 'really', 'strong', 'especially', 'helping', 'every', 'said', 'correct', 'know', 'asked', 'another', 'redirected', 'specifically', 'ethan', 'said', 'know', 'might', 'feeling', 'excited', 'asking', 'able', 'back', 'savannah', 'savannah', 'whoever', 'said', 'new', 'intern', 'ava', 'ava', 'know', 'says', 'new', 'say', 'know', 'asking', 'us', 'really', 'might', 'like', 'oh', 'thought', 'said', 'well', 'us', 'look', 'might', 'really', 'great', 'scaffolding', 'think', 'even', 'also', 'correct', 'really', 'good', 'providing', 'practicing', 'like', 'like', 'looked', 'like', 'found', 'think', 'question', 'clear', 'jasmine', 'says', ""lisa's"", 'feeling', 'nervous', 'asked', 'appropriate', 'referred', 'said', 'pounding', 'responded', 'starts', 'really', 'fast', 'might', 'uneasy', 'excited', 'could', 'asking', 'jasmine', 'us', 'like', 'continuing', 'like', 'continuing', 'thinking', 'well', 'ask', 'exactly', 'like', 'like', 'know', 'able', 'makes', 'feel', 'nervous', 'like', 'told', 'know', 'giving', 'descriptive', 'rather', 'giving', 'descriptive', 'well']"
"['like', 'savannah', 'gives', 'thinks', 'like', 'know', 'secretive', 'could', 'maybe', 'savannah', 'even', 'kind', 'clear']"
"['um', 'maybe', 'along', 'know', 'know', 'maybe', 'specific', 'like', 'might', 'much', 'lisa', 'many', 'secretive']"
"['continuing', 'text', 'particular', 'give', 'think', 'think', 'might', 'little', 'could', 'especially', 'know', 'feeling', 'nervous', 'pounding', 'probing', 'well', 'pounding', 'like', 'might', 'clammy', 'clammy', 'like', 'get', 'clammy', 'ever', 'happened', 'make', 'know', 'feeling', 'nervous', 'spot', 'following', 'since', 'gave', 'continue', '20', 'giving', 'made', 'clear', 'noticing', 'adding']"
